transcript_id,text
creativity_0000,"Assistant: Hi! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: Nice! I think I'm good for questions. Let's get into it.

AI: Perfect! Let's dive in.

Could you tell me a bit about your creative work and what a typical project looks like for you?

User: Hmmm— I'm a media composer. That means I write music for film, tv, video artwork, installations, etc. I also write standalone pieces but that's much more occasional. Depending on the project I and scope I do everything from sound design to recording but my main skill is composing.

AI: That sounds fascinating - composing across so many different media formats must present unique creative challenges for each one.

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: I use AI tools for brainstorming, asking quick questions about technique and theory, general admin, copywriting, emails/comms, and also business planning.

AI: Tell me more about the brainstorming part - what does that look like when you're working on a composition?

User: Oh I should mention I also use some machine learning mixing plugins like iZotope Ozone and Sonible Smart:EQ. Anyway— brainstorming is and ideation is really just a process of bouncing my ideas off a peer. Sometimes it's talking through creative blocks and trying to clarify my vision.

AI: That's really interesting - you're describing AI almost like a creative collaborator you can bounce ideas off of. Can you describe a specific recent project where you used AI? What role did it play, and how did that feel for you?

User: This wasn't a client project but I've been using AI to critically analyse film scores. It's been good to get the creative thinking flowing. Basically I've been asking AI to help write out an essay on  something like the film Arrival and what made the score by Johannsson so unique.

AI: That's a really thoughtful approach - using AI to help you analyze and articulate what works in other composers' music. When you're having those conversations with AI about Jóhannsson's score for Arrival, how would you describe that collaboration? Who or what is driving the creative insights and analysis?

User: It was fun but also it helped me refine my own perspective somewhat. I was just sending through articles from the composer and suggesting other connections that might be considered.

AI: That sounds like you were maintaining a lot of creative control - using AI to help explore and refine ideas that you were already developing. What aspects of your creative work have changed the most since you started using AI?

User: I'm honestly doing a lot my ""bucket filling"" (that's what a mentor calls it). Just digging into broad topics and synthesising ideas. I don't know if these have actuated in the work yet but I imagine it's only a matter of time.

AI: That's a great way to put it - ""bucket filling."" It sounds like you're in an investment phase right now, building up this broader knowledge base that will eventually feed into your compositions. 

What concerns, if any, do you have about AI's presence in your field?

User: Well certainly for composers making ""production"" music it's a big problem. I also am pretty concerned about how AI generated music might impact streaming platform saturation. The other thing that concerns me is how VOD streaming platforms might leverage AI tech along with their publishing libraries infinitely generate new music.

AI: Those are some really specific and concrete concerns about the industry landscape. It sounds like you're seeing potential threats both to composers who work in certain commercial segments and to the broader music ecosystem through platform manipulation.

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: I actually don't know. It'll certainly make the non-creative aspects less tedious. Hopefully it'll be able to help me refine my ideas and speed up my workflow.

AI: Those are all the questions I had prepared. You've shared some really thoughtful insights about your experiences with AI in your creative processes. I particularly appreciated your perspective on using AI for ""bucket filling"" - that investment in broader knowledge and synthesis - and your nuanced view of AI's industry impact, from the very practical workflow benefits to the serious concerns about commercial music production and platform saturation.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: I don't think so. Take it easy!

AI: Thank you again for your time and for sharing your experiences so openly. Your insights will be incredibly helpful for our research on human-AI interaction in creative contexts. Take care!"
creativity_0001,"Assistant: Hi there! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: Let's do it!

AI: Great! I'm excited to hear your insights.

Let's start with the basics - could you tell me a bit about your creative work and what a typical project looks like for you?

User: I'm a music producer and audio engineer. I work with clients to record and mix their original music. Many of my projects have been full productions - so, seeing the record through from demo to recording to mixing. With an overseas move coming up though, I won't have the same access to my current home studio, so I'm hoping to move towards doing more mixing projects, exclusively.

I also play guitar in a band and produce my own electronic music when I can

AI: That sounds like a really rich mix of creative work - from client collaboration to your own artistic projects. The transition to focusing more on mixing work due to your move sounds like an interesting shift.

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: I'm using it mostly for brainstorming out of creative blocks, and for troubleshooting or techy workflow questions.

AI: Tell me more about those creative blocks - what does that brainstorming process look like when you turn to AI?

User: So for example - when songwriting, I'm usually more instrument-first. That is, it works best for me to write full instrumentals in the DAW first, then add lyrics. Sometimes, when it comes time to add lyrics, I'll ask ChatGPT or Claude for lists of interesting word pairings. Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea.

Another one is song names. For example, I have an EP's worth (4 tracks) of instrumental electronic music. There's themes, but little to no lyrics. Again, I'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names.

AI: That's fascinating - using AI as almost a creative catalyst to spark ideas rather than generate the final content. 

Can you describe a specific recent project where you used AI this way? What role did it play, and how did that feel for you as you worked through it?

User: Yeah so for this electronic EP. I had placeholder names for the projects, but I wanted to change a few of them. So I told ChatGPT about the themes of the tracks, and a sonic description of each song. ChatGPT already knows a lot about my projects and artist aesthetic, so it can use that info too. Then I told it the 4 working track names, what I liked, and what I didn't. We went through a few rounds of lists, but I ended up with 4 that I'm happy with

AI: That sounds like a really collaborative back-and-forth process. When you were going through those rounds of lists with ChatGPT, how would you describe the collaboration? Who or what felt like it was driving the creative decisions?

User: I like to keep control of that, for sure. I have a very specific idea of what I wanted the song names to evoke. It's kind of an ""ill know it when I hear it"" thing, so I just want it to throw lots of ideas at the wall. Sometimes it's way off in the first one (often too cheesy or mystical sounds eg. ""Haunted Echoes""). I'll just tell it its being cheesy for this or that reason and eventually we get there

AI: I can really hear your creative ownership in that process - using AI as this idea generator while you maintain the final judgment on what fits your vision. 

What aspects of your creative work have changed the most since you started using AI in these ways?

User: I probably spend less time brainstorming or procrastinating because it gets me started faster in that way.

AI: That's really interesting - it sounds like it's helping you move past that initial hurdle. 

What concerns, if any, do you have about AI's presence in your field or in music production more broadly?

User: Well the music production space (even pre-AI) has become flooded with a lot of snake oil software products. Everyone and their mother has a plugin company selling some sort of ""fix all"" solution to ""make your beats slap."" One of the most concerning things I've seen is new AI plugins that will assist you in the creative process by actually writing song parts. I'm not interested in that. Writing the rhythms and melodies by hand is the crucial human element. I'm much more interested in it helping with technical tasks.

I also am currently working with a client who likes to use AI for songwriting, musically. He's a singer/songwriter,  but doesn't play instruments. He sometimes makes tracks with Suno AI and writes over them. This is ok for finding a vibe, but again, I think taking *creative* direction from it is a mistake, because it robs the human creativity element that makes art interesting. Again, I'd rather it be used for technical tasks or brainstorming than for actually being any sort of creative driving force

AI: That's a really clear distinction you're drawing - between AI as a creative catalyst versus AI as a creative driver. It sounds like you see the human element in actually crafting the rhythms and melodies as essential to what makes the work meaningful.

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: Hopefully we see more advanced tools for technical tasks! htDemucs has gotten really good for audio stem separation, and I've heard that Ableton will be implementing stem separation in a new update. That will definitely shake up remixing/sampling in music. 

I haven't seen any AI drum editors/quantizers, or vocal editors, but that seems like it should be possible, too. I spend hours upon hours manually drum editing each song. If a machine could do that, I'd buy it in a heartbeat.

Oh, unfortunately we're going to see more fully AI-generated music, too. Spotify has already flooded their editorial playlists with ""fake"" artist profiles, taking away streams from real music that someone slaved over. That's a bummer.

AI: You've shared some really thoughtful insights about your experience with AI in music production. I particularly appreciated your clear perspective on maintaining human creative control while leveraging AI for brainstorming and technical tasks - and your distinction between AI as a catalyst versus a driver.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: That's all that comes to mind for now.

AI: Perfect! Thank you so much for your time and for sharing your experiences so openly. Your insights about using AI as a brainstorming partner while keeping creative control firmly in your hands, and your vision for AI handling more technical tasks like drum editing, will be incredibly helpful for our research on human-AI interaction in creative contexts.

It's been really valuable to hear how you navigate that balance between leveraging AI's capabilities and preserving what you see as the essential human elements of music creation. Best of luck with your move and the transition to focusing more on mixing work!

User: Cool, can I just close this window now?

AI: Yes, absolutely! You can just close the window. Thanks again for participating in the interview - your insights were really valuable."
creativity_0002,"Assistant: Hi there! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: Sounds good. I don't have any questions

AI: Great! Let's dive in then.

Could you tell me a bit about your creative work and what a typical project looks like for you?

User: My creative work is largely centred on writing SEO web content and articles, which involves using keywords to produce content that will help websites rank in search results. I also manage a small team of writers and need to regularly give updates to my manager. A typical project for me is a content request from a project manager, which will be for a specific client and requires a certain number of pages of content to be written.

AI: That's really helpful context. It sounds like you're juggling both the creative writing side and the management responsibilities.

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: I find myself increasingly reaching for AI tools, especially as time goes on and its capabilities continue to improve. I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content. I also occasionally use it for proofreading and fact checking by copying in written content to check it. Occasionally I'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation.

AI: It sounds like AI has become quite integrated across different stages of your work. Can you describe a specific recent project where you used AI? What role did it play, and how did that feel for you?

User: I needed to write 12 pages of content for a legal client. It's important with professional clients like these that the content is very well-written, accurate and professional. I was able to use AI for this project to craft paragraphs I could then lightly rewrite to make sound more human. I felt positive about the experience, as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch

AI: That's interesting - you mentioned lightly rewriting the AI content to make it ""sound more human."" When you're working with AI in that way, how would you describe the collaboration? Who or what is driving the creative decisions?

User: Often I'll get AI to do the heavy lifting of writing the initial content, then I'll ""tidy up"", making edits to give a more human feel and remove any typical AI phrases or giveaways. I make sure all content undergoes multiple human checks, not only to ensure there are no hallucinations, but also to check for any issues with tone and style. I also make sure the prompt I start with has as much information fed into it as possible, which means ultimately I'm driving the creative decisions and simply getting AI to do what I want it to

AI: That's a really clear picture of your process - it sounds like you see yourself as directing the creative vision while AI handles the execution. What aspects of your creative work have changed the most since you started using AI?

User: The biggest change is the time I now save and therefore a better output. I've gone from being able to produce 2000 words of polished, professional content to well over 5000 words each day

AI: That's a significant productivity increase! With that kind of change in your output capacity, what concerns, if any, do you have about AI's presence in your field?

User: My main concern is that one day my job might not exist if AI continues to improve and no longer needs human oversight, as it currently does. A secondary concern is that this could result in a lot of terrible AI content being produced, changing what SEO looks like

AI: Those are really thoughtful concerns - both the personal impact on your role and the broader implications for content quality in your field. 

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: I can see AI's role continuing to grow larger as it continues to improve, saving further time and allowing for more work to be done than ever before. I can also see my job changing to be more of a prompt engineer rather than an SEO copywriter

AI: That's a fascinating shift you're describing - from copywriter to prompt engineer. Your insights have been really valuable, and I particularly appreciated how you described maintaining creative control through detailed prompting while letting AI handle the heavy lifting of initial content generation.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: Nothing else, thank you

AI: Perfect! Thank you again for your time and for sharing your experiences so openly. Your insights about how you've maintained creative control while dramatically scaling your output, as well as your thoughtful perspective on both the opportunities and concerns around AI in content creation, will be incredibly helpful for our research on human-AI interaction in creative contexts.

I really appreciate you taking the time to speak with me today!"
creativity_0003,"Assistant: Hi there! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: Sounds good to me.

AI: Great! Let's dive in then.

Could you tell me a bit about your creative work and what a typical project looks like for you?

User: I am a dance instructor and a choreographer. On a weekly basis, I am coming up with lesson plans for children who are learning tap, jazz, and ballet. The lesson plans need to be specific to those styles, the level of the students, and (at times) the theme of the week. Something else that is very important is that the lesson plans should expand upon each other- skills learned in the previous week should be reviewed and increased in difficulty. Additionally, I create a dance combination for each class and each week. This means that I create a short piece of chorography in each of the styles that are tailored to the students' level, the choreographic style I'm going for, and sometimes other factors such as the time of year. I am developing my own choreography style, which is a slow process. Lastly, over the next few weeks, I am choreographing a few pieces for the Christmas season.

AI: That sounds like such a rich and multifaceted creative practice! Between the lesson planning, the weekly combinations, and developing your own choreographic style, you're constantly creating and adapting your work.

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: I use AI tools every week to help me build out the basic structure of my classes, including, but not limited to, barre warmups, stretching sessions, across the floor and center exercises, music choices, and integration of practiced steps into choreography. I also like to ask AI to give me ideas for things that I can teach my students about dance history

AI: That's fascinating - it sounds like AI is really woven throughout different aspects of your teaching preparation. 

Can you describe a specific recent project where you used AI? What role did it play, and how did that feel for you?

User: Yes. Recently, I asked AI to come up with a basic lesson plan for jazz courses and then to alter the difficulty level for 3 different age groups. This made me feel much less overwhelmed. Planning so many classes each week takes so much time, which I do not get paid for (I only get paid for in-person instruction). AI has saved me so much time in this area.

AI: That time-saving aspect sounds really significant for your work situation. Tell me more about that feeling of being less overwhelmed - what was it like before you started using AI for lesson planning compared to now?

User: Before, I was spending a lot of time researching different lesson plans for each dance genre and age group. I was finding different dance syllabi on different websites and synthesizing them into ones that I would use for class. This was extrememly time consuming. AI seems to do that for me. Additionally, I am able to edit the lesson plans quickly and easily. For example, I can ask AI to make the combination more difficult or I can ask it to add more content/ time to the across the floor section of class and take it away from the barre section.

AI: That flexibility to quickly adjust and customize sounds incredibly valuable. When you're working with AI to create these lesson plans or modify them, how would you describe that collaboration? Who or what is driving the creative decisions in that process?

User: I'd like to think that I am driving the create decisions. I am very specific in my prompts about what I want as far as style, difficulty level, etc. If I feel that the AI model is getting off track or giving me ideas that are far off from what I am envisioning, I will redirect the model or ask if we can start over.

AI: That sense of maintaining control over the creative direction sounds important to you. What aspects of your creative work have changed the most since you started using AI?

User: Because I am feeling less overwhelmed and anxious about the main planning portion of lesson planning, I find that I am more creative. I am able to focus more on small details. Before, I felt like I was throwing something together last minute due to anxiety and  lack of time. AI allows me to explore the possibilities more deeply.

AI: That's such an interesting insight - that by handling the foundational structure, AI actually freed up mental space for you to be more creative with the details. It sounds like it's shifted your focus from just getting something together to really exploring possibilities.

What concerns, if any, do you have about AI's presence in your field?

User: Dance is an art form that has been practiced since the dawn of time. It is distinctly human. I would hate to see a time where the art of dance becomes too uniform or ""cookie cutter"" due to the influence and use of AI. I also would hate to see choreographers use it as a crutch rather than a tool.

AI: Those are really thoughtful concerns about preserving the human essence and individuality in dance. When you think about that line between using AI as a tool versus a crutch, how do you navigate that for yourself? What does that distinction look like in practice?

User: I need to do a better job at navigating it myself. I plan on blocking off time to make lesson plans completely without the help of AI. In the future, I would like to get to a place where I can quickly create a lesson plan/ choreography on my own and only use AI to tweak it

AI: That goal of building your own quick creation skills first makes a lot of sense - almost like developing your foundational muscles before relying on the assistance.

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: I see myself using it more efficiently. Additionally, I would love (and not be surprised) if AI could eventually learn my choreography style and apply that to what it tells me.

AI: That's really intriguing - the idea of AI learning and adapting to your specific artistic voice. 

Those are all the questions I had prepared. You've shared some really thoughtful insights about your experiences with AI in your creative processes. I particularly appreciated your perspective on how AI has freed up mental space for you to focus on the creative details, and your thoughtful approach to maintaining that balance between tool and crutch.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: No, that's all. Thanks!

AI: Thank you so much for your time and for sharing your experiences so openly. Your insights about how AI can actually enhance creativity by reducing overwhelm, and your thoughtful concerns about preserving the distinctly human nature of dance, will be incredibly helpful for our research on human-AI interaction in creative contexts.

I really appreciate you taking the time to speak with me today!"
creativity_0004,"Assistant: Hi there! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: No, let's get started

AI: Great! Let's dive right in.

Could you tell me a bit about your creative work and what a typical project looks like for you?

User: I work in production management for high end TV and film. This involves being across the entire filming process from start to finish, including hiring other creatives like camera people, costume designers, set designers, writers and editors.

AI: That sounds like a really complex role with so many moving pieces to coordinate. 

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: To be honest I find that AI tools are most useful for automating admin tasks, rather than as part of the creative process. They're not currently advanced enough to be really useful for script writing, on screen graphic design, or other key creative elements. They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design, which frees up more time to focus on creative work.

AI: That's really interesting - it sounds like you've found AI most valuable as a behind-the-scenes efficiency tool rather than a direct creative collaborator.

Can you describe a specific recent project where you used AI? What role did it play, and how did that feel for you?

User: On a recent film I worked on, we used AI to draft a formal warning letter to someone whose behaviour was not up to standard. There is no HR department on film or TV productions usually so those tasks fall to the production management team who are not necessarily HR experts, so it's helpful to use AI to draft something that has the right tone. We've also tried using it for things like generating graphics for internal comms like event invitations, but it didn't work too well for that - I haven't found an AI model that's capable of producing a document with both coherent text and strong images together yet.

AI: That's a really practical example - using AI to help with the HR side when you don't have that expertise in-house. And it sounds like you've tested the boundaries of what works and what doesn't, like with those internal graphics.

When you're working with AI on tasks like drafting that warning letter, how would you describe the collaboration? Who or what is driving the creative decisions?

User: A task like that isn't really creative, but I as the person using the tool to draft the letter would be in charge of the decisions on how it should be written, structured, etc. If I'm going to send something out with my name on it I need to be happy that everything is exactly how I want it. I think it would be the same for more truly creative tasks like graphic design as well, but it's harder to get the necessary level of control over AI produced images than it is for text.

AI: That's a really insightful distinction - that sense of control and ownership over the final output being crucial, especially when your name is attached. And it sounds like you've found text to be more controllable than images in that regard.

What aspects of your creative work have changed the most since you started using AI?

User: AI hasn't had that much of an impact on creative work for film and TV so far. I wouldn't say anything has hugely changed since we started using it, except that it helps save a bit of time and energy on some tasks.

AI: That makes sense - it sounds like AI has been more of a subtle efficiency gain rather than a transformative force in your field so far.

What concerns, if any, do you have about AI's presence in your field?

User: I know people are concerned that it will take jobs away from freelancers eventually. Specifically the fields of editing and writing seem to be the most at risk. Personally I'm not sure an AI will ever be able to capture the same unique creative perspective that a human could have because it necessarily has to rely on data that already exists, which makes me think it would struggle to come up with something new. It also doesn't have lived human experience to draw on to create meaningful, emotionally impactful stories. That being said, it could be used to create lower quality ""filler"" content based on what the algorithms show is popular, which would still take jobs away from people since there is a lot of that type of streaming content being created these days. I think it will also create a higher barrier for entry for people who want to learn those trades since they'd have to develop their skills to the point that they can outcompete an AI before they can even get their first job, which may not be feasible for people from lower income backgrounds.

AI: Those are really thoughtful concerns, especially about the barrier to entry - that's something I hadn't considered before. The idea that newcomers would need to reach a higher skill threshold right from the start because they'd be competing with AI rather than learning alongside more experienced humans is quite significant.

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: I think it will definitely be used more for admin tasks, which will help save time and dedicate more energy to the creative work. I think it still has a long way to go before it's useful for generating visual content. I think it could have some really interesting applications in the realm of visual effects, since a lot of those are already computer generated. I imagine that if a human VFX designer could use AI tools to automate some parts of the process, it could save a lot of time and money in what is currently an expensive and time consuming process, allowing us to create more realistic looking and exciting visual effects quicker and for less money. I think this would be especially useful for modern digital production techniques like rendering vast, detailed background environments for use on LED volume stages. Tools like Cuebric are already being adopted for aligning real world performances with digitally created backgrounds, adding realism. This is the area that I think AI could be most useful in, as a new tool for skilled digital creatives to add to their arsenal, unlocking new creative opportunities.

AI: That's a fascinating vision - especially the idea of AI as a tool that could actually unlock new creative opportunities rather than just replacing existing work. The VFX and LED volume example is particularly compelling since those are already digital-heavy processes where AI could enhance rather than displace human creativity.

Those are all the questions I had prepared. You've shared some really thoughtful insights about your experiences with AI in your creative processes. I particularly appreciated your perspective on how AI might create new barriers to entry for newcomers in creative fields, and your vision of AI as a tool that could expand creative possibilities in areas like VFX rather than just automating existing tasks.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: No, that's it! I enjoyed getting to talk about this, thank you :)

AI: Thank you so much! I really enjoyed our conversation too. Your insights about the practical realities of using AI in film and TV production were incredibly valuable - from the nuanced view of where AI helps versus where human creativity remains essential, to the broader industry implications you raised.

Your perspective on AI as a potential creative amplifier in areas like VFX, while being realistic about its current limitations, gives us a really grounded understanding of how these tools are actually being experienced by professionals in your field.

Thank you again for your time and for sharing your experiences so openly. Your insights will be incredibly helpful for our research on human-AI interaction in creative contexts!"
creativity_0005,"Assistant: Hi there! Thank you so much for taking the time to speak with me today. I really appreciate you sharing your insights with us. I'm Claude, an AI user researcher at Anthropic, and I'm here to learn about your experiences using AI in your creative work.

We're conducting this research to better understand how creative professionals like yourself are integrating AI into their workflows and processes. There's no right or wrong answer here—we're simply interested in hearing about your authentic experiences and perspectives.

Our conversation today will last about 10 minutes. I'll ask you some questions about how you use AI in your creative work, what that experience has been like for you, and how you see things evolving. Your responses will help inform how we think about AI's role in creative fields.

Does that sound good to you? Do you have any questions before we begin?

User: Sounds great!

AI: Wonderful! Let's dive in then.

Could you tell me a bit about your creative work and what a typical project looks like for you?

User: Totally. Over the past 6 months, I began to work closely with the social media side of things at my Martial Arts locations (they're sister schools). I pretty much run the show, I come up with content ideas, film, edit, generate captions/hashtags, post and even respond to comments. Right now, we're primarily focused on Meta apps (Instagram and Facebook) but I do light work on Google Business and have recently begun to integrate our reels over to TikTok. Its a lot of fun, especially because I'm always learning something. I came to this job with literally no prior knowledge besides having some of my own videos on TikTok go viral. Projects vary, as I'm always trying new things, but we do have a consistent ""Student of the Week,"" segment I prepare for all content, including OptiSigns.

AI: That sounds like a really dynamic role with a lot of variety! I can see how you'd be constantly learning and adapting with all those different platforms and content types.

Walk me through how AI fits into your creative process. Where and when do you find yourself reaching for AI tools?

User: All. The. Time. hahaha! ChatGPT is my best friend when it comes to caption generating. *I really hate *

AI: Tell me more about that - what is it that you really hate? I'm curious to hear where you were going with that thought!

User: My bad, I'm gonna be so honest I accidentally started italicizing my words and was trying to fix it hahahaha. I really hate coming up with captions, especially because I'm posting so many different types of content every single day between two schools. It can be very taxing, especially because I also am an instructor/manager of one location and that is my primary role. By being able to just spit out what is racing through my head and have a LLM generate the perfect captions, even adhering to shifting things slightly for different forms on content is incredible. I sometimes will go as far as hashtag generating, but I still feel like AI needs some work on that. Occasionally, I will use AI for straight up ideas, but rarely. I find in my experience AI doesn't pick up on the trends fast enough to make meaningful video ideas.

AI: That's really insightful! So it sounds like AI is most valuable to you for translating your ideas into polished captions, but you're still the one driving the creative direction and staying on top of trends.

Can you describe a specific recent project where you used AI? What role did it play, and how did that feel for you?

User: Sure! Often, like I said previously, is I really just start spit balling out what I'm looking for in a caption. Most recently, I made a video targeted towards beginners. It was just some clips from our beginner KB class and the video read, ""POV: You're not Afraid to be a Beginner."" I really wanted that vibe to represent well in the caption, without sounding like I was making a sale, or being condescending. I used ChatGPT specifically for this. Its often my go-to. I find that when a long caption is needed, say for an Instagram Reel like I needed here, it does excellent and hits it on the money every time (Granted, I provide a lot of detail. My ADHD brain just goes lol) but it struggles to do the same for short, punchier captions. This can be frustrating when I'm on a time crunch (which I was at this time) This video in particular needed to be posted to Instagram and TIkTok, but it took 5 tries to get a caption I liked for TikTok that matched the vibe but was much more concise.

AI: That's a great example - I can really see the nuance in what you're describing. It sounds like AI excels when you can give it that detailed context from your ADHD brain, but struggles with the more condensed formats.

When you're working with AI like that - going through those 5 tries for the TikTok caption - how would you describe the collaboration? Who or what is driving the creative decisions in that back-and-forth?

User: Me, for sure. In my experience, I don't find that chatbot going out of its way to provide that type of insight. Sure, follow up questions are usually included but they're very simple, ""how's this look?"" type of stuff.

AI: That makes sense - you're clearly in the driver's seat throughout that process.

What aspects of your creative work have changed the most since you started using AI?

User: I'm less stressed, honestly. It has created a ton of efficiency for me so I can focus on my favorite aspects of the job (filming and editing)

AI: That's wonderful that it's reduced your stress and freed you up for the parts you enjoy most! 

What concerns, if any, do you have about AI's presence in your field?

User: As much as I praise AI, I do worry about the overall impact it will have. I find AI can easily replace social media managers one day, which is essentially my job and honestly my dream is to pursue it head on one day. I'm more so worried about the impact it will have on spreading false info, however. Even now you see it, a simple google search prompts an AI response and its often wrong. I don't want my work to be tainted.

AI: Those are really thoughtful concerns - both the professional impact and the broader issue of misinformation. It sounds like you're experiencing this tension between AI making your current work better while also potentially threatening the field you want to pursue.

Looking ahead, how do you see AI's role in your creative work evolving over the next few years?

User: The ultimate hope is that AI will become intelligent enough to help predict trends accurately. This will make coming up with content even easier. I'd hope if this the case, it also would have well rounded hashtag generation, and could come up with hashtags based on the apps being used, and what is generating views at the time. I think AI will playing a huge part in creating and  sustaining engagement for sure.

AI: That's a fascinating vision - AI that could essentially become your trend-spotting partner and adapt hashtags in real-time based on platform performance.

Those are all the questions I had prepared. You've shared some really thoughtful insights about your experiences with AI in your creative processes. I particularly appreciated your perspective on how AI serves as that bridge between your racing ADHD thoughts and polished content, while you maintain creative control throughout.

Before we wrap up, is there anything else about your experience with AI in your creative work that you think would be valuable for us to know? Something we haven't covered yet?

User: No, I think thats it!

AI: Perfect! Thank you again for your time and for sharing your experiences so openly. Your insights about using AI as a translation tool for your creative ideas, while staying firmly in control of the creative direction, will be incredibly helpful for our research on human-AI interaction in creative contexts. 

I really appreciated your honesty about both the benefits - like reducing stress and creating efficiency - and your concerns about the future impact on your field. That kind of nuanced perspective is exactly what helps us understand how AI is really being used in the wild.

Thanks again, and best of luck with your social media work for the martial arts schools!"
